1788660776,45,12.68,2398,3003,0,0x0000000000000000,12827520
1788660781,44,12.62,2398,3003,0,0x0000000000000000,12334396
1788660786,47,23.96,2405,3003,96,0x0000000000000000,9783888
1788660791,46,13.06,2405,3003,0,0x0000000000000000,12805848
1788660796,45,12.75,2398,3003,0,0x0000000000000000,12359204
1788660801,45,12.78,2398,3003,0,0x0000000000000000,10435600
1788660806,51,38.38,2424,3003,96,0x0000000000000000,8308572
1788660811,55,53.91,2424,3003,96,0x0000000000000000,8313448
1788660816,63,86.08,2431,3003,96,0x0000000000000000,8310012
1788660821,66,92.51,2424,3003,96,0x0000000000000000,8198156
1788660826,70,98.67,2405,3003,96,0x0000000000000000,7923188
1788660831,63,91.16,2418,3003,95,0x0000000000000000,8329548
1788660837,59,41.05,2418,3003,96,0x0000000000000000,8328920
1788660842,66,75.03,2405,3003,96,0x0000000000000000,8326844
1788660847,70,91.68,2424,3003,96,0x0000000000000000,8238300
1788660852,72,97.53,2392,3003,96,0x0000000000000000,7579132
1788660857,56,15.31,2411,3003,0,0x0000000000000000,12504508
1788660862,55,14.93,2411,3003,0,0x0000000000000000,12258324
1788660867,59,48.48,2457,3003,88,0x0000000000000000,8409204
1788660872,61,49.26,2450,3003,96,0x0000000000000000,8410920
1788660877,61,49.38,2444,3003,96,0x0000000000000000,8393868
1788660882,62,54.48,2424,3003,96,0x0000000000000000,8286372
1788660887,64,55.54,2431,3003,77,0x0000000000000000,7278244
1788660893,65,61.66,2418,3003,96,0x0000000000000000,7318900
1788660898,63,52.71,2431,3003,95,0x0000000000000000,8687204
1788660903,63,52.19,2431,3003,96,0x0000000000000000,8607696
1788660908,64,51.22,2431,3003,90,0x0000000000000000,8267296
1788660913,63,54.44,2424,3003,82,0x0000000000000000,8019024
1788660918,66,59.22,2418,3003,96,0x0000000000000000,6860072
1788660923,57,15.35,2411,3003,0,0x0000000000000000,12458068
1788660928,56,19.14,2411,3003,0,0x0000000000000000,10561212
1788660933,55,15.00,2411,3003,0,0x0000000000000000,8285268
1788660938,56,32.29,2418,3003,96,0x0000000000000000,8258524
1788660943,54,16.90,2411,3003,0,0x0000000000000000,8235412
1788660949,54,14.90,2411,3003,0,0x0000000000000000,8234276
1788660954,53,14.76,2411,3003,0,0x0000000000000000,8239828
1788660959,60,55.65,2437,3003,96,0x0000000000000000,8237408
1788660964,63,69.23,2431,3003,96,0x0000000000000000,8235056
1788660969,53,14.79,2411,3003,0,0x0000000000000000,8153860
1788660974,66,88.43,2431,3003,96,0x0000000000000000,8179096
1788660979,56,15.42,2411,3003,0,0x0000000000000000,8167908
1788660984,55,21.65,2411,3003,0,0x0000000000000000,8125012
1788660989,57,24.57,2424,3003,96,0x0000000000000000,8132228
1788660994,53,14.84,2411,3003,0,0x0000000000000000,8124092
1788660999,55,37.90,2418,3003,75,0x0000000000000000,8113680
1788661004,52,14.24,2398,3003,0,0x0000000000000000,8110048
1788661009,55,32.23,2431,3003,96,0x0000000000000000,8109968
1788661014,56,41.87,2450,3003,96,0x0000000000000000,8118548
1788661019,52,14.64,2411,3003,0,0x0000000000000000,8122088
1788661024,53,14.66,2411,3003,0,0x0000000000000000,8139152
1788661029,60,63.30,2457,3003,95,0x0000000000000000,8029932
1788661035,54,23.86,2411,3003,0,0x0000000000000000,7843976
1788661040,52,14.17,2398,3003,0,0x0000000000000000,12390148
1788661045,52,14.03,2398,3003,0,0x0000000000000000,10498960
1788661050,54,24.35,2424,3003,96,0x0000000000000000,8255784
1788661055,51,13.69,2398,3003,0,0x0000000000000000,8254592
1788661060,51,13.62,2398,3003,0,0x0000000000000000,8225464
1788661065,51,13.74,2398,3003,0,0x0000000000000000,8229084
1788661070,58,51.66,2457,3003,96,0x0000000000000000,8174100
1788661075,60,57.50,2457,3003,96,0x0000000000000000,8194080
1788661080,63,69.35,2437,3003,96,0x0000000000000000,8215512
1788661085,66,80.82,2431,3003,96,0x0000000000000000,8225532
1788661090,54,14.93,2411,3003,0,0x0000000000000000,8159756
1788661095,53,17.32,2405,3003,0,0x0000000000000000,8141608
1788661100,56,23.81,2424,3003,96,0x0000000000000000,8123924
1788661105,52,14.16,2398,3003,0,0x0000000000000000,8150676
1788661110,55,27.80,2418,3003,96,0x0000000000000000,8143228
1788661115,51,14.19,2398,3003,0,0x0000000000000000,8136828
1788661121,56,41.01,2431,3003,96,0x0000000000000000,8142128
1788661126,52,14.11,2398,3003,0,0x0000000000000000,8132188
1788661131,52,14.10,2398,3003,0,0x0000000000000000,8142484
1788661136,59,61.46,2457,3003,96,0x0000000000000000,8089928
1788661141,53,14.91,2411,3003,0,0x0000000000000000,7898176
1788661146,52,14.04,2398,3003,0,0x0000000000000000,12374452
1788661151,51,13.70,2398,3003,0,0x0000000000000000,8780612
1788661156,58,49.85,2450,3003,96,0x0000000000000000,7902872
1788661161,55,46.98,2450,3003,96,0x0000000000000000,7904860
1788661166,59,47.28,2450,3003,96,0x0000000000000000,7906164
1788661171,60,50.99,2444,3003,96,0x0000000000000000,7896612
1788661176,61,50.01,2444,3003,96,0x0000000000000000,7778324
1788661181,61,48.14,2444,3003,96,0x0000000000000000,7567212
1788661187,61,56.49,2431,3003,96,0x0000000000000000,7574852
1788661192,63,47.21,2431,3003,96,0x0000000000000000,7203572
1788661197,67,64.17,2431,3003,96,0x0000000000000000,5916988
1788661202,59,23.85,2411,3003,0,0x0000000000000000,12731448
1788661207,57,15.35,2411,3003,0,0x0000000000000000,12335760
1788661212,56,15.71,2411,3003,0,0x0000000000000000,6754792
1788661217,58,30.22,2450,3003,94,0x0000000000000000,6653528
1788661222,58,30.37,2450,3003,96,0x0000000000000000,6670308
1788661227,58,31.06,2450,3003,96,0x0000000000000000,6658896
1788661233,59,33.30,2450,3003,96,0x0000000000000000,6673068
1788661238,59,33.25,2431,3003,96,0x0000000000000000,6661688
1788661243,59,33.36,2431,3003,96,0x0000000000000000,6668336
1788661248,59,34.17,2424,3003,96,0x0000000000000000,6663816
1788661253,60,35.17,2424,3003,92,0x0000000000000000,6628748
1788661258,60,38.82,2424,3003,96,0x0000000000000000,6641180
1788661263,62,39.79,2450,3003,96,0x0000000000000000,6582300
1788661269,62,44.78,2450,3003,96,0x0000000000000000,6589232
1788661274,62,45.29,2444,3003,91,0x0000000000000000,6510920
